,model_number,classes_number,CancerM,CardioM,CerebroM,PneumoniaM,AccidentM,TrafficM,SuicideM,KidneyM,Covid19M,CPROB1,CPROB2,CPROB3,CPROB4,Class
1,　北海道,4,2.735129325,-0.341214686,-0.276301168,0.096566927,0.251527479,0.472965247,0.366899805,2.313381483,1.53176637,0.993194328,0.0062324,0.000525762,4.75E-05,1
2,　青　森,4,2.182617527,0.562283356,1.070411193,0.921775211,1.598313851,-0.010281853,1.246710561,1.755797228,-1.062576671,0.000466739,0.999523405,4.14E-15,9.86E-06,2
3,　岩　手,4,-0.027429664,1.239906887,3.090479735,-0.728641358,0.401170409,-0.493528953,0.894786258,1.198212973,-0.738283791,4.20E-05,0.950184696,4.75E-10,0.049773266,2
4,　宮　城,4,0.340911535,0.279940218,1.647573634,-1.553849642,-0.496687173,-0.010281853,0.894786258,-1.032124046,-0.413990911,0.012358843,0.008453092,1.43E-06,0.979186639,4
5,　秋　田,4,1.630105729,-1.583524494,2.128542334,-0.040967787,0.251527479,-1.460023154,-0.512910951,1.198212973,-1.062576671,0.999040337,0.00082801,5.04E-10,0.000131652,1
6,　山　形,4,-0.211600263,0.844626494,0.781829973,-0.728641358,-0.795973033,-1.460023154,1.950559166,1.198212973,-0.738283791,0.000875085,0.726317943,2.31E-08,0.272806949,2
7,　福　島,4,0.095350736,0.731689239,0.781829973,-0.316037215,1.14938506,-0.493528953,1.246710561,0.083044463,-0.089698031,0.000381832,0.639491223,4.57E-08,0.360126899,2
8,　茨　城,4,-0.088819863,0.167002963,1.455186154,1.059309925,-0.496687173,0.472965247,0.542861956,-1.032124046,-0.089698031,0.000787949,0.001590179,1.16E-05,0.997610232,4
9,　栃　木,4,-0.641331661,1.18343826,1.647573634,0.234101641,-0.646330103,1.439459447,-0.160986649,-0.474539791,-0.089698031,7.93E-06,0.000259832,2.50E-05,0.999707199,4
10,　群　馬,4,-1.562184657,0.392877473,0.108473792,0.921775211,-0.945615964,-0.976776053,1.246710561,0.083044463,-0.413990911,4.23E-06,0.000658524,1.06E-06,0.99933619,4
11,　埼　玉,4,-0.518551262,0.731689239,-0.757269869,1.609448782,-2.142759406,-0.976776053,-1.568683859,0.083044463,1.20747349,1.75E-08,2.52E-12,0.999991954,8.03E-06,3
12,　千　葉,4,-0.272990463,0.901095121,-0.180107428,0.921775211,-1.394544755,-0.493528953,-0.864835254,-0.474539791,1.20747349,1.05E-06,4.87E-09,0.998865971,0.001132974,3
13,　東　京,4,-0.088819863,0.279940218,-0.276301168,-0.040967787,-1.993116476,-2.426517354,-1.920608161,-0.474539791,2.504645011,1.01E-11,2.98E-18,1,7.33E-11,3
14,　神奈川,4,0.095350736,1.014032377,-0.661076129,-0.591106644,-0.795973033,-1.460023154,-1.568683859,-1.589708301,1.20747349,3.08E-07,2.04E-11,0.999951311,4.84E-05,3
15,　新　潟,4,0.525082134,-0.96236959,1.166604933,-1.691384356,-0.347044243,-0.493528953,0.894786258,-1.032124046,-0.738283791,0.447428902,0.004300285,1.22E-07,0.548270691,4
16,　富　山,4,-0.579941461,-1.809399004,0.589442493,0.096566927,0.99974213,-0.976776053,0.894786258,-1.032124046,-0.413990911,0.010967385,0.002764014,1.94E-08,0.986268581,4
17,　石　川,4,0.095350736,-0.623557824,-0.083913688,0.096566927,0.251527479,-0.010281853,-1.392721707,-1.589708301,-0.089698031,0.03172762,6.00E-06,0.004375928,0.963890447,4
18,　福　井,4,-1.071063059,0.336408845,-0.564882389,0.646705783,0.700456269,-0.493528953,-0.3369488,-1.032124046,-0.738283791,1.41E-05,9.05E-05,4.52E-07,0.999894951,4
19,　山　梨,4,-1.378014058,-0.849432335,0.397055012,0.096566927,0.99974213,0.472965247,-0.160986649,1.198212973,-0.738283791,9.65E-05,0.004981423,3.68E-09,0.994922109,4
20,　長　野,4,-2.176086655,-0.397683314,0.589442493,-1.553849642,0.251527479,-0.493528953,1.422672712,-1.589708301,-0.413990911,1.88E-07,1.77E-05,2.51E-09,0.9999821,4
21,　岐　阜,4,-1.00967286,-0.567089196,-0.949657349,-0.316037215,0.8500992,-0.976776053,-0.512910951,-0.474539791,-0.089698031,0.000430552,4.66E-05,6.34E-05,0.999459429,4
22,　静　岡,4,-1.071063059,-0.341214686,1.262798673,-1.1412455,-0.646330103,-0.493528953,0.014975502,0.083044463,-0.089698031,0.000375254,0.000103068,7.19E-05,0.999449742,4
23,　愛　知,4,-0.579941461,-2.035273514,-1.045851089,-0.453571929,-1.095258894,-0.976776053,-1.216759556,-1.589708301,0.88318061,0.002251646,1.18E-10,0.985660869,0.012087485,3
24,　三　重,4,-1.193843459,-0.228277431,-0.083913688,-0.316037215,-0.646330103,1.439459447,-1.040797405,0.640628718,0.23459485,7.97E-05,4.86E-06,0.002099954,0.997815467,4
25, 滋　賀,4,-0.211600263,-0.341214686,-1.142044829,-1.278780214,0.401170409,1.439459447,-0.160986649,0.640628718,-0.089698031,0.00527616,0.001253718,5.94E-06,0.993464178,4
26,　京　都,4,0.402301734,1.070501004,-0.661076129,-0.866176072,-1.544187685,0.472965247,-1.920608161,-0.474539791,0.55888773,5.21E-05,2.12E-09,0.998054429,0.001893519,3
27,　大　阪,4,0.832033133,1.352844142,-1.33443231,1.471914068,-0.945615964,-0.976776053,-0.864835254,0.640628718,2.828937891,4.79E-10,8.85E-13,0.999999996,3.64E-09,3
28,　兵　庫,4,0.770642933,0.054065707,-0.564882389,-0.453571929,-0.347044243,-0.493528953,-0.3369488,0.083044463,2.180352131,3.74E-05,2.07E-08,0.99990884,5.38E-05,3
29,　奈　良,4,-0.088819863,0.731689239,-1.71920727,0.921775211,-0.945615964,0.472965247,-0.160986649,-1.589708301,0.23459485,0.000406672,4.68E-06,0.03401922,0.965569429,4
30,　和歌山,4,0.893423332,1.465781398,-1.43062605,0.509171069,1.14938506,0.472965247,0.366899805,0.083044463,-0.738283791,0.003261033,0.567077356,6.25E-08,0.429661549,2
31,　鳥　取,4,1.50732533,-1.978804887,-0.083913688,-1.003710786,0.101884548,-0.010281853,0.014975502,0.640628718,-1.062576671,0.999545871,9.53E-05,1.13E-10,0.000358848,1
32,　島　根,4,0.893423332,-1.1882441,-0.564882389,-1.966453784,-1.244901824,-0.976776053,0.718824107,0.083044463,-1.062576671,0.98798028,0.000106374,5.17E-08,0.011913295,1
33,　岡　山,4,-0.702721861,-0.115340176,-0.564882389,0.784240497,0.251527479,0.956212347,0.190937653,-1.032124046,-0.089698031,5.65E-05,8.60E-05,2.90E-06,0.999854527,4
34,　広　島,4,-0.088819863,0.731689239,-0.757269869,-0.040967787,0.101884548,0.956212347,-0.688873103,0.083044463,-0.413990911,0.000929876,0.000716699,3.44E-05,0.998318976,4
35,　山　口,4,0.033960536,0.844626494,0.012280052,1.746983496,-0.795973033,-0.010281853,0.542861956,0.083044463,-0.738283791,0.001471833,0.019559864,2.79E-06,0.978965514,4
36,　徳　島,4,-1.071063059,-0.115340176,-0.949657349,2.022052924,1.747956782,1.439459447,-0.3369488,1.198212973,-0.413990911,1.49E-05,0.019361386,9.46E-09,0.980623726,4
37,　香　川,4,-0.88689246,0.957563749,-0.468688649,-1.82891907,0.700456269,2.889200748,-0.160986649,-0.474539791,-0.738283791,1.31E-06,0.00018583,2.21E-09,0.99981286,4
38,　愛　媛,4,-0.641331661,2.086936301,-0.083913688,0.234101641,0.8500992,0.956212347,0.542861956,0.083044463,-0.413990911,7.48E-07,0.049783977,4.35E-08,0.950215231,4
39,　高　知,4,0.893423332,-0.228277431,-0.180107428,0.646705783,2.496171433,1.922706547,1.422672712,1.755797228,-0.413990911,4.08E-05,0.999365351,1.02E-14,0.000593819,2
40,　福　岡,4,1.44593513,-2.37408528,-1.045851089,0.371636355,-0.197401312,-0.010281853,-0.512910951,-0.474539791,0.55888773,0.999363999,2.30E-07,0.000140766,0.000495005,1
41,　佐　賀,4,1.323154731,-1.301181355,-0.661076129,0.509171069,-0.047758382,-0.010281853,0.542861956,-0.474539791,-0.738283791,0.981188205,0.001009506,2.31E-08,0.017802266,1
42,　長　崎,4,1.138984131,-0.623557824,-0.661076129,0.784240497,-0.047758382,-0.010281853,-1.568683859,-0.474539791,-0.738283791,0.938338909,3.43E-05,9.35E-05,0.06153332,1
43,　熊　本,4,-0.518551262,-0.284746058,-0.564882389,-0.316037215,0.700456269,0.472965247,0.014975502,0.640628718,-0.413990911,0.00135195,0.005917641,3.56E-07,0.992730053,4
44,　大　分,4,-0.88689246,-0.341214686,0.204667532,-0.316037215,0.8500992,0.472965247,1.070748409,0.640628718,-0.413990911,0.000113987,0.051724469,2.42E-09,0.948161541,4
45,　宮　崎,4,0.218131135,0.392877473,0.397055012,0.784240497,0.401170409,-0.010281853,1.070748409,-0.474539791,-0.413990911,0.002234624,0.126020295,1.21E-07,0.87174496,4
46,　鹿児島,4,-0.211600263,-0.115340176,0.012280052,1.471914068,1.598313851,0.472965247,1.246710561,1.755797228,-0.738283791,3.35E-05,0.978439035,1.51E-12,0.021527478,2
47,　沖　縄,4,-0.272990463,0.392877473,0.974217453,-1.416314928,-0.496687173,-0.010281853,-1.392721707,0.640628718,2.504645011,1.46E-08,3.06E-11,0.999996956,3.03E-06,3
