A,P,D,Y
30,1950,1607,22031000
35,1950,3424,20220000
40,1950,8166,19150000
45,1950,16751,16340000
50,1950,30317,14653000
55,1950,43543,11870000
60,1950,59960,9616000
65,1950,78426,7292000
70,1950,88509,5313000
75,1950,70328,3178000
80,1950,45181,1729000
85,1950,,
90,1950,,
30,1955,2188,33837932
35,1955,4105,26910126
40,1955,10192,24758330
45,1955,22952,23043173
50,1955,41862,19583490
55,1955,64474,17061514
60,1955,86361,13399593
65,1955,112888,10204019
70,1955,126326,7144662
75,1955,111161,4541701
80,1955,63053,2139787
85,1955,23407,748355
90,1955,613,22767
30,1960,2829,39024805
35,1960,5260,33426030
40,1960,9387,26472130
45,1960,21267,24155559
50,1960,41302,22218390
55,1960,65688,18544207
60,1960,97036,15772617
65,1960,127712,11669402
70,1960,150969,8198804
75,1960,139687,4971678
80,1960,91380,2528925
85,1960,41410,1046813
90,1960,1216,32187
30,1965,3108,41568330
35,1965,7019,38951539
40,1965,11957,33036402
45,1965,18731,25858811
50,1965,34239,23386998
55,1965,58538,21092009
60,1965,91005,17148459
65,1965,134234,13788311
70,1965,165380,9467561
75,1965,164614,5789914
80,1965,113582,2806116
85,1965,61916,1313158
90,1965,2092,50765
30,1970,2967,43561691
35,1970,7234,41485903
40,1970,14125,38323820
45,1970,19986,32411717
50,1970,27801,25396975
55,1970,46363,22313704
60,1970,78144,19811919
65,1970,119307,15382692
70,1970,167334,11618751
75,1970,180773,7038890
80,1970,138736,3516477
85,1970,82905,1577325
90,1970,3534,65769
30,1975,2605,46676706
35,1975,5807,43967792
40,1975,12617,41544237
45,1975,21167,38289028
50,1975,26967,32070161
55,1975,34765,24630187
60,1975,57670,21570359
65,1975,96967,18465492
70,1975,142708,13396573
75,1975,179222,9043768
80,1975,152080,4581299
85,1975,103733,2110519
90,1975,5002,81576
30,1980,2287,52571629
35,1980,5026,46545151
40,1980,9561,43613039
45,1980,17870,40935805
50,1980,25910,37490337
55,1980,30950,31101330
60,1980,40814,23640551
65,1980,68891,20070606
70,1980,113592,16307121
75,1980,152045,10780820
80,1980,154929,6176136
85,1980,93011,2395300
90,1980,35824,701112
30,1985,1380,41465165
35,1985,4083,52432546
40,1985,7852,46255580
45,1985,12758,43101632
50,1985,20790,40173885
55,1985,27741,36441229
60,1985,33939,29936416
65,1985,45605,22304715
70,1985,77231,18146428
75,1985,119616,13635333
80,1985,134098,7768323
85,1985,102582,3517269
90,1985,47651,1120418
30,1990,1164,38542009
35,1990,2552,41318897
40,1990,7281,52159643
45,1990,11846,45798654
50,1990,17093,42396623
55,1990,24385,39211773
60,1990,34007,35186670
65,1990,43296,28365871
70,1990,59905,20418840
75,1990,97102,15514473
80,1990,126645,10219720
85,1990,105695,4631886
90,1990,64756,1773319
30,1995,1300,40694686
35,1995,2374,38539028
40,1995,5169,41220937
45,1995,11960,51838944
50,1995,16709,45191530
55,1995,22102,41609482
60,1995,34056,37974934
65,1995,50742,33356007
70,1995,71585,26104557
75,1995,100567,17740736
80,1995,142434,12006864
85,1995,141614,6520102
90,1995,100052,2659077
30,2000,1217,46160881
35,2000,2295,40725061
40,2000,4292,38534162
45,2000,8271,40935461
50,2000,16510,51034001
55,2000,20548,44273453
60,2000,27617,40522606
65,2000,42869,36371585
70,2000,66396,30902998
75,2000,94975,23172567
80,2000,118653,14396499
85,2000,130385,8193334
90,2000,120379,4268438
30,2005,1085,46163000
35,2005,2415,42777000
40,2005,4247,41037000
45,2005,7066,42766000
50,2005,11584,45468000
55,2005,20426,48125000
60,2005,25679,40530000
65,2005,35152,36064000
70,2005,57056,30745000
75,2005,90089,23422000
80,2005,119355,15426000
85,2005,122194,8323000
90,2005,140059,4460000
30,2010,761,43737000
35,2010,2034,44311000
40,2010,4168,42332000
45,2010,6117,43236000
50,2010,8931,43661000
55,2010,13316,44867000
60,2010,23793,43335000
65,2010,30983,37637000
70,2010,46133,31199000
75,2010,76033,24534000
80,2010,114399,16957000
85,2010,127631,9435000
90,2010,146317,4966000
30,2015,636,41872000
35,2015,1474,43853000
40,2015,3834,44376000
45,2015,6353,42154000
50,2015,8307,42804000
55,2015,10365,43027000
60,2015,15987,43971000
65,2015,29382,41763000
70,2015,40100,35304000
75,2015,62137,28052000
80,2015,97675,20313000
85,2015,120068,12063000
90,2015,149021,6657000
